,tweets
198,"Now that chuds have posted faces of #BrooklynCenter civilians for police &amp; media to harass, let’s remember:

They’r… https://t.co/JQDOeHSejs"
199,Welcome to MN. @GovTimWalz @mayor_elliott @WCCO @KSTP @FOX9 @kare11 @PioneerPress @StarTribune #FreedomofPress… https://t.co/XDRXQMyxcB
200,"KingDemetrius Pendleton #brooklyncenter #mn #live # # 
https://t.co/0CC4DNe1h9"
201,@sarasidnerCNN @GovTimWalz How can you mourn when you have never been to #BrooklynCenter and yet you will went thei… https://t.co/O66jaJG4Na
202,"If only there were some journalists around that could simply ask and report why this was happening. 

#DaunteWright… https://t.co/97g4ul71Jp"
203,@Blklivesmatter @Oprah #Minnesota #BrooklynCenter #GeorgeFloydTrial #DaunteWright #BlackLivesMatter #Texas #NYC… https://t.co/mT7BseLYax
204,When I hear that the passage of the reparations case study #HR40 is the political solution to end the militarizatio… https://t.co/voeSAzCfIL
205,"? #brooklyncenter #brooklyncentermn #kimpotter #DuanteWright 

I feel like the cop Kim Potter was arressted and cha… https://t.co/A2DwQsNk8Z"
206,Is It Just Me Or #BrooklynCenter Is Starting to Look A Lot Like #Portland!!! https://t.co/79US61DTu7
207,"@HennepinSheriff Just so you know a list will become public who gave! If any of you on the department did, you need… https://t.co/0id1LQ32O9"
208,WTF is this bullshit. 😠😠 #BrooklynCenter https://t.co/qD4gexkrLX
209,"#BrooklynCenter is currently occupied by heavily armed military, there to end resistance to continuing killing of i… https://t.co/7zPcsqgP8u"
210,The status quo is *killing* our friends and our neighbors. If that naked fact--played out in violent body cam foota… https://t.co/HXxOFzLf5E
211,"Signs ""Justice for Daunte Wright"" 
""All cops are pigs"" 
Georfe Floyd picture
Little Trees/car air fresheners on fen… https://t.co/cU0IaoMbRB"
212,You can’t smoke weed while you’re rioting #BrooklynCenter #Portland #Minneapolis
213,"If you have a few extra bucks, they could use your help. #fillupthebarn  #minneapolis #BrooklynCenter https://t.co/5DSyeH3ZcV"
214,"#BrooklynCenter #PoliceAbuse 
#GeorgeFloyd ‘s nephew was terrorized by cops.
#BlackLivesMatter https://t.co/dbUQ3dRDJK"
215,"omg crazy ... #brooklyncenter #brooklyncentermn #DauneWright 

making those bail bondsmen and the jails some money… https://t.co/Js9fdrXpqB"
216,Who knows if Hennepin County Jail allows arrestees to call non-local area code numbers? @MNFreedomFund @MFFUnion ? #BrooklynCenter
217,"Cops murdering unarmed PoC, &amp; then using extremely unreasonable disproportionate retaliatory force when confronting… https://t.co/UKRj18hyMO"
218,"@thechrislarsen Cops murdering unarmed PoC, &amp; then using extremely unreasonable disproportionate retaliatory force… https://t.co/WNAor8MLtq"
219,"#SaturdayMorning #SaturdayWisdom 

🛑STOP PLAYING INTO REPUBLICAN'S/TRUMPLICAN'S HANDS!!!🛑

#RacialInjustice… https://t.co/XTAhjPeTvL"
220,"#SaturdayMorning #SaturdayWisdom 

☮️More we keep it peaceful.. more our cause shines.☮️

#RacialInjustice… https://t.co/Ay7jA2u5yB"
221,What's that brother's Cashapp so we can donate more soup for his family? 🍲 🍜 🥣 #brooklyncenter
222,"We're hiring in #BrooklynCenter, MN! Click the link in our bio to apply to this job and more: Broadband Technician-… https://t.co/NS4fRz53Co"
223,"9:42 After munition gas went off?
Woman runs and people helping as she yelling they shot my throat
A woman with a r… https://t.co/xPTeox9bH6"
224,9:36 looking toward south by #Brooklyncenter PD https://t.co/JOZwrEAsZs
225,The worst part about this is that there probably won’t be any accountability. This type of behavior from the police… https://t.co/iwrKQHnDRi
