,tweets
187,"Follow our FEED all the way down starting HERE!

See as we grew &amp; got better every day tracking the… https://t.co/LDPWXPSphE"
188,@GovTimWalz The protesters are our neighbors. The independent press are our neighbors. The medics are our neighbors… https://t.co/qhQwQG8WVU
189,@NotURSycophant @shades_dirty @jamesramertps @LencznerSlaght @HicksMorley @BLGLaw @NinivJones @PaliareRoland… https://t.co/DxQ8uAsyyO
190,#repost @negro_militant_rbka #sayhisname #georgefloyd #justiceforgeorgefloyd #icantbreathe #endpolicekillings… https://t.co/khEHmavM4m
191,don't forget their names #BreonnaTaylor #GeorgeFloyd #BlackLivesMatter https://t.co/UFQIUKdIab
192,Greys and Station 19 are up to finding out about #georgefloyd and 😭😭 Just trying to process this past year is insane.
193,EXACTLY!!!!!!!!!! #DaunteWright #JusticeForDaunte #GeorgeFloyd #JusticeForGeorgeFloyd #BlackLivesMatter https://t.co/XWsK6Nh4ot
194,"""Shoe polishes contain petroleum products, benzenes, carbon based dyes etc.. All of these substances have severe il… https://t.co/ig9cbHXbTS"
195,@gluonspring @parrhizzia There's something wrong if that is all the system can manage to do. When it comes to the p… https://t.co/GTdriFFecf
196,Excellent thread  #DerekChauvinTrial #Georgefloyd if G verdict -agg factors can increase sentence- jury will return… https://t.co/DYH4JQ63yC
197,"#PoliceReformNow 

☮️ Clashes w/Police, violence, rioting, looting, vandalism..
Doesn't help families of victims of… https://t.co/wzlEi17oq8"
198,@NotURSycophant @shades_dirty @jamesramertps @LencznerSlaght @HicksMorley @BLGLaw @NinivJones @PaliareRoland… https://t.co/xdKx7MpX5l
199,@CunninghamMPLS @FletcherMpls Oh Brave and Bold Steve Fletcher!  When a constituent is being threatened with violen… https://t.co/XOqH05zKXV
200,@CSP_News are the new @DenverPolice we’ve learned nothing from the senseless murder of #GeorgeFloyd… https://t.co/2X7DNznzDw
201,"Jury will get the case come Monday for deliberations. Hopefully, justice will be served but I have little faith in… https://t.co/04uDaIidx8"
202,"As a black man, is there anywhere in the world you feel safe in the wake of #GeorgeFloyd #DuanteWright and… https://t.co/oU6mehAH4F"
203,"1 week after #GeorgeFloyd's murder, nonviolent protesters in DC demanded justice for him &amp; were violently removed b… https://t.co/DvYDQDyPsZ"
204,Pro-accountability is not anti-police. The time for reforms is now.  #derekchauvin #georgefloyd #dauntewright  https://t.co/WUUlEep6ln
205,#GeorgeFloyd committed suicide and #BLM should be audited and prosecuted for corruption and embezzlement. The… https://t.co/Q2yRyNezkb
206,"@hinduoncampus @RutgersU And think of it, how hard blacks had to fight, to get mainstreamed in US. What's their pos… https://t.co/fWcoLSa0zd"
